day,start_time,end_time,type,subject_id,division,batch,faculty_id
Thursday,11:00 AM,12:00 PM,theory,DJ19ITC504,I2,,664a0d49-edf6-4715-950d-1a8dd01fb405
Friday,12:30 PM,1:30 PM,theory,DJ19ITC504,I2,,664a0d49-edf6-4715-950d-1a8dd01fb405
Saturday,12:30 PM,1:30 PM,theory,DJ19ITC504,I2,,664a0d49-edf6-4715-950d-1a8dd01fb405
Monday,1:30 PM,2:30 PM,theory,DJ19ITEC5013,I1,,664a0d49-edf6-4715-950d-1a8dd01fb405
Tuesday,12:30 PM,1:30 PM,theory,DJ19ITEC5013,I1,,664a0d49-edf6-4715-950d-1a8dd01fb405
Wednesday,2:30 PM,3:30 PM,theory,DJ19ITEC5013,I1,,664a0d49-edf6-4715-950d-1a8dd01fb405
Monday,8:00 AM,10:00 AM,practical,DJ19ITEC5013,I1,1,664a0d49-edf6-4715-950d-1a8dd01fb405
Monday,10:00 AM,12:00 PM,practical,DJ19ITC504,I1,1,664a0d49-edf6-4715-950d-1a8dd01fb405
Tuesday,10:00 AM,12:00 PM,practical,DJ19ITC504,I2,1,664a0d49-edf6-4715-950d-1a8dd01fb405
Saturday,8:00 AM,10:00 AM,practical,DJ19ITC504,I2,2,664a0d49-edf6-4715-950d-1a8dd01fb405